               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.088861,            0.024879,                   0,             0.25896,             0.50467,             0.22318,            0.064335,            0.059742,            0.015189,                   0,            0.070128,           0.0033191,           0.0033191
                   1,            0.059911,             0.01949,                   0,             0.52112,             0.65421,             0.57594,             0.21191,             0.04741,            0.012423,                   0,            0.039799,           0.0063231,           0.0063231
                   2,            0.053448,            0.017278,                   0,             0.56283,             0.61365,             0.57872,             0.19465,             0.05384,            0.010334,                   0,           0.0091396,           0.0089972,           0.0089972
                   3,            0.047714,            0.016009,                   0,             0.78388,             0.76269,              0.8313,             0.39629,            0.036403,           0.0095585,                   0,            0.008515,            0.008515,            0.008515
                   4,            0.042179,            0.014807,                   0,             0.82195,             0.84131,             0.90396,               0.489,            0.030774,           0.0091678,                   0,            0.008515,            0.008515,            0.008515
                   5,            0.038935,            0.014442,                   0,             0.83023,             0.81776,             0.87415,             0.49277,            0.031888,           0.0089798,                   0,             0.00802,             0.00802,             0.00802
                   6,            0.035589,            0.013435,                   0,             0.89651,             0.89059,             0.95094,             0.49956,            0.031713,           0.0083965,                   0,            0.007525,            0.007525,            0.007525
                   7,            0.035219,            0.013113,                   0,             0.93279,             0.90794,             0.95993,             0.57894,            0.027352,           0.0081905,                   0,             0.00703,             0.00703,             0.00703
                   8,            0.033574,            0.012541,                   0,             0.87376,             0.93794,             0.95358,             0.56497,            0.027276,           0.0084085,                   0,            0.006535,            0.006535,            0.006535
                   9,            0.032056,            0.012361,                   0,             0.93359,             0.91974,             0.95899,             0.59699,            0.026947,           0.0076203,                   0,             0.00604,             0.00604,             0.00604
                  10,            0.030967,            0.011991,                   0,             0.92008,             0.91449,             0.95671,             0.60394,            0.026641,            0.007603,                   0,            0.005545,            0.005545,            0.005545
                  11,            0.029465,            0.011692,                   0,             0.91545,             0.91066,             0.94464,             0.59377,            0.025922,           0.0076414,                   0,             0.00505,             0.00505,             0.00505
                  12,            0.028617,            0.011739,                   0,              0.9218,             0.93646,             0.96345,             0.60074,             0.02561,           0.0074512,                   0,            0.004555,            0.004555,            0.004555
                  13,            0.028139,            0.011131,                   0,             0.93426,             0.93458,              0.9666,             0.61593,            0.024799,           0.0073251,                   0,             0.00406,             0.00406,             0.00406
                  14,            0.027145,            0.011041,                   0,             0.94877,             0.95197,             0.97228,             0.62827,            0.024042,           0.0073508,                   0,            0.003565,            0.003565,            0.003565
                  15,            0.025877,            0.010759,                   0,             0.91633,             0.92121,             0.97322,             0.63213,            0.024555,           0.0072264,                   0,             0.00307,             0.00307,             0.00307
                  16,            0.025723,            0.010746,                   0,              0.9407,             0.96359,             0.98125,             0.63728,            0.024062,           0.0072712,                   0,            0.002575,            0.002575,            0.002575
                  17,            0.024615,            0.010401,                   0,             0.93242,              0.9486,             0.97295,             0.63491,             0.02401,           0.0073464,                   0,             0.00208,             0.00208,             0.00208
                  18,            0.024046,           0.0099759,                   0,             0.95735,             0.94403,             0.98193,             0.64362,            0.023696,           0.0071854,                   0,            0.001585,            0.001585,            0.001585
                  19,            0.023467,             0.01001,                   0,              0.9424,              0.9486,             0.98215,             0.64915,            0.023539,           0.0071658,                   0,             0.00109,             0.00109,             0.00109
